transcript	hitid	hit description
Crpow_TRINITY_DN386_c1_g3	METK3_ORYSJ	S-adenosylmethionine synthase 3
Crpow_TRINITY_DN11810_c0_g1	METK3_POPTR	S-adenosylmethionine synthase 3
Crpow_TRINITY_DN14447_c0_g1	MI25_ARATH	ATP synthase protein MI25
Crpow_TRINITY_DN14447_c0_g2	MI25_WHEAT	ATP synthase protein MI25
Crpow_TRINITY_DN108905_c0_g1	MTHR_ORYSJ	Probable methylenetetrahydrofolate reductase (NADH)
Crpow_TRINITY_DN3465_c0_g1	MTHR_ORYSJ	Probable methylenetetrahydrofolate reductase (NADH)
Crpow_TRINITY_DN127813_c1_g1	MTHR1_MAIZE	Methylenetetrahydrofolate reductase (NADH) 1
Crpow_TRINITY_DN3465_c0_g1	MTHR1_MAIZE	Methylenetetrahydrofolate reductase (NADH) 1
Crpow_TRINITY_DN105403_c0_g1	MTHR2_ARATH	Methylenetetrahydrofolate reductase (NADH) 2
Crpow_TRINITY_DN124400_c0_g1	NBS_NARPS	Norbelladine synthase
Crpow_TRINITY_DN163871_c0_g1	NBS_NARPS	Norbelladine synthase
Crpow_TRINITY_DN29263_c0_g1	NOMT_NARAP	Norbelladine 4'-O-methyltransferase
Crpow_TRINITY_DN426715_c0_g2	NOMT_NARAP	Norbelladine 4'-O-methyltransferase
Crpow_TRINITY_DN7096_c1_g1	NOMT_NARPS	Norbelladine 4'-O-methyltransferase
Crpow_TRINITY_DN21924_c0_g1	NOMT2_NARAP	Norbelladine 4'-O-methyltransferase 2
Crpow_TRINITY_DN29263_c0_g1	NOMT2_NARAP	Norbelladine 4'-O-methyltransferase 2
Crpow_TRINITY_DN7096_c1_g1	NOMT2_NARAP	Norbelladine 4'-O-methyltransferase 2
Crpow_TRINITY_DN797_c0_g1	NOMT2_NARAP	Norbelladine 4'-O-methyltransferase 2
Crpow_TRINITY_DN7096_c1_g1	NOMT3_NARAP	Norbelladine 4'-O-methyltransferase 3
Crpow_TRINITY_DN797_c0_g1	NOMT3_NARAP	Norbelladine 4'-O-methyltransferase 3
Crpow_TRINITY_DN14426_c0_g1	NR_NARPS	Noroxomaritidine/norcraugsodine reductase
Crpow_TRINITY_DN2246_c0_g1	NR_NARPS	Noroxomaritidine/norcraugsodine reductase
Crpow_TRINITY_DN2246_c1_g1	NR_NARPS	Noroxomaritidine/norcraugsodine reductase
Crpow_TRINITY_DN2246_c4_g1	NR_NARPS	Noroxomaritidine/norcraugsodine reductase
Crpow_TRINITY_DN2296_c0_g1	NR_NARPS	Noroxomaritidine/norcraugsodine reductase
Crpow_TRINITY_DN28960_c0_g1	NR_NARPS	Noroxomaritidine/norcraugsodine reductase
Crpow_TRINITY_DN31422_c0_g1	NR_NARPS	Noroxomaritidine/norcraugsodine reductase
Crpow_TRINITY_DN4979_c0_g1	NR_NARPS	Noroxomaritidine/norcraugsodine reductase
Crpow_TRINITY_DN591_c0_g1	NR_NARPS	Noroxomaritidine/norcraugsodine reductase
Crpow_TRINITY_DN70133_c0_g1	NR_NARPS	Noroxomaritidine/norcraugsodine reductase
Crpow_TRINITY_DN1223_c0_g2	PAL1_FRIUN	Phenylalanine/tyrosine ammonia-lyase 1
Crpow_TRINITY_DN1223_c0_g1	PAL1_NARPS	Phenylalanine ammonia-lyase 1
Crpow_TRINITY_DN3203_c0_g1	PAL1_NARPS	Phenylalanine ammonia-lyase 1
Crpow_TRINITY_DN35605_c0_g1	PAL1_NARPS	Phenylalanine ammonia-lyase 1
Crpow_TRINITY_DN35605_c0_g3	PAL1_NARPS	Phenylalanine ammonia-lyase 1
Crpow_TRINITY_DN27471_c0_g2	PAL1_PEA	Phenylalanine ammonia-lyase 1
Crpow_TRINITY_DN1223_c0_g2	PAL2_NARPS	Phenylalanine ammonia-lyase 2
Crpow_TRINITY_DN1223_c1_g1	PAL2_NARPS	Phenylalanine ammonia-lyase 2
Crpow_TRINITY_DN30843_c0_g1	PAL2_NARPS	Phenylalanine ammonia-lyase 2
Crpow_TRINITY_DN3203_c0_g1	PAL2_NARPS	Phenylalanine ammonia-lyase 2
Crpow_TRINITY_DN3203_c0_g2	PAL2_NARPS	Phenylalanine ammonia-lyase 2
Crpow_TRINITY_DN3203_c1_g1	PAL2_NARPS	Phenylalanine ammonia-lyase 2
Crpow_TRINITY_DN309920_c0_g1	PALY_HELAN	Phenylalanine ammonia-lyase
Crpow_TRINITY_DN199011_c0_g1	SAHH_CANAL	Adenosylhomocysteinase
Crpow_TRINITY_DN78998_c0_g3	SAHH_CANAL	Adenosylhomocysteinase
Crpow_TRINITY_DN38559_c1_g1	SAHH_CATRO	Adenosylhomocysteinase
Crpow_TRINITY_DN5296_c0_g3	SAHH_CATRO	Adenosylhomocysteinase
Crpow_TRINITY_DN8551_c0_g1	SAHH_CATRO	Adenosylhomocysteinase
Crpow_TRINITY_DN142376_c0_g1	SAHH_PETCR	Adenosylhomocysteinase
Crpow_TRINITY_DN22087_c0_g1	SAHH_PETCR	Adenosylhomocysteinase
Crpow_TRINITY_DN38559_c0_g1	SAHH_PETCR	Adenosylhomocysteinase
Crpow_TRINITY_DN559215_c0_g1	SAHH_PETCR	Adenosylhomocysteinase
Crpow_TRINITY_DN583454_c0_g1	SAHH_PETCR	Adenosylhomocysteinase
Crpow_TRINITY_DN5296_c0_g2	SAHH_PHASS	Adenosylhomocysteinase
Crpow_TRINITY_DN78998_c0_g2	SAHH_TOBAC	Adenosylhomocysteinase
Crpow_TRINITY_DN594697_c0_g1	SAHHB_XENLA	Adenosylhomocysteinase B
Crpow_TRINITY_DN2583_c0_g1	SERA_ARCFU	D-3-phosphoglycerate dehydrogenase
Crpow_TRINITY_DN378165_c0_g1	SERA_SCHPO	Putative D-3-phosphoglycerate dehydrogenase
Crpow_TRINITY_DN155101_c1_g1	SERA1_ARATH	"D-3-phosphoglycerate dehydrogenase 1, chloroplastic"
Crpow_TRINITY_DN9052_c0_g1	SERA1_ARATH	"D-3-phosphoglycerate dehydrogenase 1, chloroplastic"
Crpow_TRINITY_DN9741_c0_g1	SERA1_ARATH	"D-3-phosphoglycerate dehydrogenase 1, chloroplastic"
Crpow_TRINITY_DN15133_c0_g2	SERB1_ARATH	"Phosphoserine aminotransferase 1, chloroplastic"
Crpow_TRINITY_DN15133_c0_g1	SERB2_ARATH	"Phosphoserine aminotransferase 2, chloroplastic"
Crpow_TRINITY_DN152980_c1_g1	SERB2_ARATH	"Phosphoserine aminotransferase 2, chloroplastic"
Crpow_TRINITY_DN2959_c0_g1	SERC_ARATH	"Phosphoserine phosphatase, chloroplastic"
Crpow_TRINITY_DN56909_c0_g2	SERC_ARATH	"Phosphoserine phosphatase, chloroplastic"
Crpow_TRINITY_DN55816_c0_g1	SERC_SPIOL	"Phosphoserine aminotransferase, chloroplastic"
Crpow_TRINITY_DN55816_c0_g2	SERC_SPIOL	"Phosphoserine aminotransferase, chloroplastic"
Crpow_TRINITY_DN593351_c0_g1	SERC_YEAST	Phosphoserine aminotransferase
Crpow_TRINITY_DN10558_c0_g2	SK1_ORYSJ	"Shikimate kinase 1, chloroplastic"
Crpow_TRINITY_DN7524_c0_g1	SK3_ORYSJ	"Shikimate kinase 3, chloroplastic"
Crpow_TRINITY_DN2369_c0_g2	SKL1_ARATH	"Probable inactive shikimate kinase like 1, chloroplastic"
Crpow_TRINITY_DN36185_c0_g1	SKL2_ARATH	"Probable inactive shikimate kinase like 2, chloroplastic"
Crpow_TRINITY_DN272257_c0_g3	TCMO_CATRO	Trans-cinnamate 4-monooxygenase
Crpow_TRINITY_DN3006_c0_g1	TCMO_NARPS	Trans-cinnamate 4-monooxygenase
Crpow_TRINITY_DN20039_c0_g1	TYDC1_NARPS	Tyrosine decarboxylase 1
Crpow_TRINITY_DN9870_c0_g1	TYDC1_NARPS	Tyrosine decarboxylase 1
Crpow_TRINITY_DN6933_c0_g1	TYDC2_NARPS	Tyrosine decarboxylase 2
Crpow_TRINITY_DN182183_c0_g1	YMF19_BRANA	Putative ATP synthase protein YMF19
Crpow_TRINITY_DN413_c3_g2	YMF19_BRANA	Putative ATP synthase protein YMF19
